run_id,id,dataset,text,gold,pred,raw_output,category
plutus8b__FPB__A__3shot__seed42,FPB_01120,FPB,Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland .,neutral,positive,positive,
plutus8b__FPB__A__3shot__seed42,FPB_01151,FPB,The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_00380,FPB,The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,positive,neutral,neutral,
plutus8b__FPB__A__3shot__seed42,FPB_01606,FPB,"Helsinki-based Componenta bought Turkish listed company Doktas in October 2006 for 89 million euros , making it the largest Finnish investment in Turkey to date .",neutral,positive,positive,
plutus8b__FPB__B__3shot__seed42,FPB_03174,FPB,The board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found non-responsive by the evaluation team .,neutral,negative,negative,
plutus8b__FPB__B__3shot__seed42,FPB_01337,FPB,"According to Olvi 's Managing Director Lasse Aho , the company has an ongoing MMX Plus project that aims to find growth outside Finland .",positive,neutral,neutral,
plutus8b__FPB__A__3shot__seed42,FPB_01190,FPB,The policy was also aimed at making the companies more profitable and competitive .,positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_00072,FPB,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,neutral,neutral,
plutus8b__FPB__A__3shot__seed42,FPB_01349,FPB,Elektrobit ( EB ) has renewed its IT infrastructure contract with ICT services provider Fujitsu Services for EB 's Patja service .,positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_01472,FPB,Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .,positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_00357,FPB,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",positive,neutral,neutral,
plutus8b__FPB__A__3shot__seed42,FPB_00710,FPB,These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_03176,FPB,"Continuing operations turned an operating loss of EUR 0.1 mn , a slight improvement from a loss of EUR 0.2 mn a year earlier .",positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_01969,FPB,"Fortum holds 90.2 pct of the share capital and 94.4 pct of the voting rights in the company , which it now plans to delist from the Warsaw Stock Exchange .",neutral,negative,negative,
plutus8b__FPB__B__3shot__seed42,FPB_01417,FPB,"The 50-50 joint venture , to be called Nokia Siemens Networks , will be comprised of Nokia 's network business group and Siemens ' carrier-related operations , creating estimated synergies of 1.5 billion euros ( $ 1.9 billion ) by 2010 , Nokia said .",positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_00794,FPB,`` They want my credit card info and my personal details .,neutral,negative,negative,
plutus8b__FPB__B__3shot__seed42,FPB_00659,FPB,"`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . ''",positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_00499,FPB,Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_02875,FPB,"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",negative,neutral,neutral,
plutus8b__FPB__A__3shot__seed42,FPB_00529,FPB,The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,positive,neutral,neutral,
plutus8b__FPB__A__3shot__seed42,FPB_03003,FPB,The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments .,neutral,negative,negative,
plutus8b__FPB__A__3shot__seed42,FPB_00357,FPB,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has signed a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",positive,neutral,neutral,
plutus8b__FPB__A__3shot__seed42,FPB_00835,FPB,"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''",positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_00422,FPB,"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_00531,FPB,"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_01169,FPB,The concept enables a commercially affordable way to manufacture high-quality TCO coated glass for the solar industry .,positive,neutral,neutral,
plutus8b__FPB__B__3shot__seed42,FPB_00704,FPB,"The launch of the plant in June went well , and it has been producing the advanced fuel for a couple of weeks .",positive,neutral,neutral,
plutus8b__FPB__A__3shot__seed42,FPB_02759,FPB,The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq .,neutral,positive,positive,
plutus8b__FPB__B__3shot__seed42,FPB_00462,FPB,Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,positive,negative,negative,
plutus8b__FPB__A__3shot__seed42,FPB_00123,FPB,Alma Media expects its net sales to increase as forecast previously .,positive,neutral,neutral,
