claim_id,section,sentence,metric_type,value,context_keys
R001,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,LLMs in Finance Seminar — Implementation Track Paper reproduced: Open-FinLLMs: Open Multimodal Large Language Models for Financial Applications Task: inference-only reproduction · Compute: Modal T4 (4-bit) · Total spend: ~$1.3,money,$1.3,
R002,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"We could not get the paper’s headline model (FinLLaMA-instruct) because the authors un-published it (a 404 — a finding in itself), so we substituted plutus-8B-instruct, the same group’s current 8B financial-instruct model, and benchmarked it against general 7–8B instruction models (Mistral-7B, Qwen2.5-7B), small in-domain classifiers (FinBERT, FinBERT-tone), a lexicon (VADER), and specialised NER models (GLiNER).",count,404,FinLLaMA; LLaMA; Llama; FinBERT; VADER; Instruct; GLiNER
R003,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"We could not get the paper’s headline model (FinLLaMA-instruct) because the authors un-published it (a 404 — a finding in itself), so we substituted plutus-8B-instruct, the same group’s current 8B financial-instruct model, and benchmarked it against general 7–8B instruction models (Mistral-7B, Qwen2.5-7B), small in-domain classifiers (FinBERT, FinBERT-tone), a lexicon (VADER), and specialised NER models (GLiNER).",count,8B,FinLLaMA; LLaMA; Llama; FinBERT; VADER; Instruct; GLiNER
R004,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"We could not get the paper’s headline model (FinLLaMA-instruct) because the authors un-published it (a 404 — a finding in itself), so we substituted plutus-8B-instruct, the same group’s current 8B financial-instruct model, and benchmarked it against general 7–8B instruction models (Mistral-7B, Qwen2.5-7B), small in-domain classifiers (FinBERT, FinBERT-tone), a lexicon (VADER), and specialised NER models (GLiNER).",count,8B,FinLLaMA; LLaMA; Llama; FinBERT; VADER; Instruct; GLiNER
R005,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"We could not get the paper’s headline model (FinLLaMA-instruct) because the authors un-published it (a 404 — a finding in itself), so we substituted plutus-8B-instruct, the same group’s current 8B financial-instruct model, and benchmarked it against general 7–8B instruction models (Mistral-7B, Qwen2.5-7B), small in-domain classifiers (FinBERT, FinBERT-tone), a lexicon (VADER), and specialised NER models (GLiNER).",count,8B,FinLLaMA; LLaMA; Llama; FinBERT; VADER; Instruct; GLiNER
R006,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"We could not get the paper’s headline model (FinLLaMA-instruct) because the authors un-published it (a 404 — a finding in itself), so we substituted plutus-8B-instruct, the same group’s current 8B financial-instruct model, and benchmarked it against general 7–8B instruction models (Mistral-7B, Qwen2.5-7B), small in-domain classifiers (FinBERT, FinBERT-tone), a lexicon (VADER), and specialised NER models (GLiNER).",count,7B,FinLLaMA; LLaMA; Llama; FinBERT; VADER; Instruct; GLiNER
R007,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"We could not get the paper’s headline model (FinLLaMA-instruct) because the authors un-published it (a 404 — a finding in itself), so we substituted plutus-8B-instruct, the same group’s current 8B financial-instruct model, and benchmarked it against general 7–8B instruction models (Mistral-7B, Qwen2.5-7B), small in-domain classifiers (FinBERT, FinBERT-tone), a lexicon (VADER), and specialised NER models (GLiNER).",count,7B,FinLLaMA; LLaMA; Llama; FinBERT; VADER; Instruct; GLiNER
R008,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Financial instruction tuning did not pull ahead — on any of the four datasets. plutus-8B is mid-pack on sentiment (beaten by Mistral on FPB, by Qwen on FiQA) and is the single worst LLM on both NER datasets.",count,8B,Instruct; FPB; FiQA
R009,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,Swapping one prompt template for another moves macro-F1 by up to 16 points on the same model and dataset — larger than most model-to-model gaps.,f1_macro,16 points,template
R010,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Majority-vote over four prompt variants beats the mean single prompt on 6/6 model×dataset cells, and a cross-validation-weighted vote keeps ~100% answer coverage.",coverage,100%,
R011,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Honest scope: this is a toy-scale, inference-only reproduction (300-sentence sentiment subsamples; 98–300-example NER sets; 4-bit quantization; no fine-tuning).",count,300,
R012,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Honest scope: this is a toy-scale, inference-only reproduction (300-sentence sentiment subsamples; 98–300-example NER sets; 4-bit quantization; no fine-tuning).",count,98,
R013,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > Executive summary > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Honest scope: this is a toy-scale, inference-only reproduction (300-sentence sentiment subsamples; 98–300-example NER sets; 4-bit quantization; no fine-tuning).",count,300,
R014,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","The dataset ships four nested inter-annotator-agreement subsets: AllAgree (100% / unanimous, 2,264 sentences), 75Agree (≥75%, 3,453), 66Agree (≥66%, 4,217), 50Agree (≥50%, 4,846).",percent,100%,
R015,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","The dataset ships four nested inter-annotator-agreement subsets: AllAgree (100% / unanimous, 2,264 sentences), 75Agree (≥75%, 3,453), 66Agree (≥66%, 4,217), 50Agree (≥50%, 4,846).",percent,75%,
R016,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","The dataset ships four nested inter-annotator-agreement subsets: AllAgree (100% / unanimous, 2,264 sentences), 75Agree (≥75%, 3,453), 66Agree (≥66%, 4,217), 50Agree (≥50%, 4,846).",percent,66%,
R017,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","The dataset ships four nested inter-annotator-agreement subsets: AllAgree (100% / unanimous, 2,264 sentences), 75Agree (≥75%, 3,453), 66Agree (≥66%, 4,217), 50Agree (≥50%, 4,846).",percent,50%,
R018,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","We report on the 75%-agreement split (690 test sentences, 20% seed-42 hold-out) — the conventional FPB benchmark setting, balancing label quality against sample size — and additionally validate on the 100%-agreement gold in §6.4.",percent,75%,FPB
R019,"Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 2. Background: the paper, condensed > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER","We report on the 75%-agreement split (690 test sentences, 20% seed-42 hold-out) — the conventional FPB benchmark setting, balancing label quality against sample size — and additionally validate on the 100%-agreement gold in §6.4.",count,690,FPB
