claim_id,deck,section,sentence,metric_type,value,context_keys
D001,main,Slide 1,Implementation Presentation  ·  30 min,time,30 min,
D002,main,Slide 2,5-7 min,time,7 min,
D003,main,Slide 2,8-10 min,time,10 min,
D004,main,Slide 2,10-12 min,count,10,
D005,main,Slide 2,10-12 min,time,12 min,
D006,main,Slide 2,3-5 min,time,5 min,
D007,main,Slide 4,"Specifically, on sentiment classification — and how does it compare to classical baselines (FinBERT, VADER) and other 7-8B general-purpose LLMs (Mistral, Qwen2.5)?",count,8B,FinBERT; VADER; Mistral; Qwen; FIN
D008,main,Slide 5,We substitute TheFinAI/plutus-8B-instruct (Feb 2025) — the same group's current 8B financial-instruction-tuned model,count,8B,Instruct; plutus; FIN
D009,main,Slide 5,We substitute TheFinAI/plutus-8B-instruct (Feb 2025) — the same group's current 8B financial-instruction-tuned model,count,8B,Instruct; plutus; FIN
D010,main,Slide 5,"Same architecture (LLaMA-3 8B), same research direction, same goal: beat the base on financial NLP",count,8B,LLaMA; Llama; FIN
D011,main,Slide 8,"[Table, Slide 8] row='Financial PhraseBank' col='Size' cell='690 test (sentences_75agree)'",count,690,Financial PhraseBank; FIN
D012,main,Slide 8,"[Table, Slide 8] row='Financial PhraseBank' col='Note' cell='Annotator agreement ≥ 75% — clean test signal'",percent,75%,Financial PhraseBank; FIN
D013,main,Slide 8,"[Table, Slide 8] row='FiQA-SA' col='Labels' cell='score ∈ [-1, 1] → 3-class with ±0.10 band'",f1_macro,0.10,FiQA; FiQA-SA
D014,main,Slide 8,LLM matrix uses a 300-sample subsample per dataset (Modal time budget); baselines use full test sets,count,300,
D015,main,Slide 8,Leakage caveat: both datasets predate every LLM here by 7-12 years and were almost certainly seen at pretraining time,count,12,
D016,main,Slide 9,"Five models across three families: financial-tuned, general 7-8B LLM, and classical.",count,8B,FIN
D017,main,Slide 9,"[Table, Slide 9] row='Financial-tuned' col='Model' cell='TheFinAI/plutus-8B-instruct'",count,8B,FIN
D018,main,Slide 9,"[Table, Slide 9] row='Financial-tuned' col='Size / Type' cell='8B · LLaMA-3, 4-bit'",count,8B,FIN
D019,main,Slide 9,"[Table, Slide 9] row='General-purpose LLM' col='Model' cell='mistralai/Mistral-7B-Instruct-v0.3'",count,7B,
D020,main,Slide 9,"[Table, Slide 9] row='General-purpose LLM' col='Size / Type' cell='7B · 4-bit'",count,7B,
D021,main,Slide 9,"[Table, Slide 9] row='General-purpose LLM' col='Model' cell='Qwen/Qwen2.5-7B-Instruct'",count,7B,
D022,main,Slide 9,"[Table, Slide 9] row='General-purpose LLM' col='Size / Type' cell='7B · 4-bit'",count,7B,
D023,main,Slide 9,"[Table, Slide 9] row='Classical specialised' col='Size / Type' cell='110M · BERT classifier'",count,110M,
D024,main,Slide 9,"LLaMA-3.1-8B-Instruct skipped — gated, no access yet.",other,3.1,LLaMA-3.1-8B; Llama-3.1-8B; LLaMA; Llama; Instruct
D025,main,Slide 9,"LLaMA-3.1-8B-Instruct skipped — gated, no access yet.",count,8B,LLaMA-3.1-8B; Llama-3.1-8B; LLaMA; Llama; Instruct
D026,main,Slide 11,"12 LLM runs (3 models × 2 datasets × 2 templates × {0, 3}-shot) + 4 baseline runs.",count,12,template; shot
D027,main,Slide 11,"Seed locked to 42 for every random draw: subsample, few-shot pick, baselines",count,42,few-shot; shot
D028,main,Slide 14,"[Table, Slide 14] row='plutus-8B-instruct (focal)' col='Model' cell='plutus-8B-instruct (focal)'",count,8B,Instruct; plutus
D029,main,Slide 14,"[Table, Slide 14] row='Mistral-7B-Instruct-v0.3' col='Model' cell='Mistral-7B-Instruct-v0.3'",count,7B,Instruct; Mistral
D030,main,Slide 14,"[Table, Slide 14] row='Qwen2.5-7B-Instruct' col='Model' cell='Qwen2.5-7B-Instruct'",count,7B,Instruct; Qwen
D031,main,Slide 14,Pull live numbers from results/summary/final_table.csv (visible in the dashboard at :8502).,count,8502,FIN
D032,main,Slide 19,Below ~95% is a flag.,percent,95%,
D033,main,Slide 20,Gold: positive  ·  plutus-8B: positive  ·  Mistral: neutral  ·  Qwen2.5: neutral,count,8B,plutus; Mistral; Qwen
D034,main,Slide 20,Gold: negative  ·  Mistral: negative  ·  plutus-8B: neutral,count,8B,plutus; Mistral
D035,main,Slide 21,"Tip: when hand-tagging, look for cases where plutus-8B is right but Mistral/Qwen are wrong — those are the real evidence for or against the financial-tuning hypothesis.",count,8B,plutus; Mistral; Qwen; FIN
D036,main,Slide 23,"Notebook → script split, run-dir schema with checkpoint/resume, parser as a tested module, Modal Volume for cached weights — without these, a 12-run matrix isn't redoable.",count,12,
D037,main,Slide 24,Add an LLM-as-judge sanity pass over a 100-sample slice — catch label noise,count,100,
D038,main,Slide 24,Include a smaller financial model (e.g. finma-7b) and a non-financial 8B baseline of the same era for a tighter family comparison,count,8B,FIN
D039,main,Slide 25,"[Insert a one-sentence answer to the research question once the matrix completes — e.g. 'Financial instruction tuning gave plutus-8B a [NUM]-point F1 edge over the strongest general 7B LLM on FPB, but the small specialised FinBERT still outperformed every 8B model on this in-domain task.']",f1_macro,8B,FinBERT; Instruct; plutus; FPB; FIN
D040,main,Slide 25,"[Insert a one-sentence answer to the research question once the matrix completes — e.g. 'Financial instruction tuning gave plutus-8B a [NUM]-point F1 edge over the strongest general 7B LLM on FPB, but the small specialised FinBERT still outperformed every 8B model on this in-domain task.']",f1_macro,7B,FinBERT; Instruct; plutus; FPB; FIN
D041,main,Slide 25,"[Insert a one-sentence answer to the research question once the matrix completes — e.g. 'Financial instruction tuning gave plutus-8B a [NUM]-point F1 edge over the strongest general 7B LLM on FPB, but the small specialised FinBERT still outperformed every 8B model on this in-domain task.']",f1_macro,8B,FinBERT; Instruct; plutus; FPB; FIN
D042,main,Slide 26,Live dashboard · localhost:8502  (run dashboard/run.bat),count,8502,
D043,dated,Slide 1,Implementation Presentation  ·  30 min,time,30 min,
D044,dated,Slide 2,5-7 min,time,7 min,
D045,dated,Slide 2,8-10 min,time,10 min,
D046,dated,Slide 2,10-12 min,count,10,
D047,dated,Slide 2,10-12 min,time,12 min,
D048,dated,Slide 2,3-5 min,time,5 min,
D049,dated,Slide 4,"Specifically, on sentiment classification — and how does it compare to classical baselines (FinBERT, VADER) and other 7-8B general-purpose LLMs (Mistral, Qwen2.5)?",count,8B,FinBERT; VADER; Mistral; Qwen; FIN
D050,dated,Slide 4,FPB / FiQA-SA sentiment task; 4-bit inference of an 8B financial LLM vs. 7-8B general LLMs vs. classical baselines; F1-macro / accuracy reporting.,f1_macro,8B,FPB; FiQA; FiQA-SA; FIN
D051,dated,Slide 4,FPB / FiQA-SA sentiment task; 4-bit inference of an 8B financial LLM vs. 7-8B general LLMs vs. classical baselines; F1-macro / accuracy reporting.,f1_macro,8B,FPB; FiQA; FiQA-SA; FIN
D052,dated,Slide 4,Substituted plutus-8B-instruct (TheFinAI's 2025 successor) when FinLLaMA-instruct was unpublished; prompt templates A/B specifically chosen to measure sensitivity.,count,8B,FinLLaMA; LLaMA; Llama; Instruct; plutus; FIN; template
D053,dated,Slide 4,"Inference only (no fine-tuning, no multimodal, no trading sim). 300-sample subsample per dataset for the LLM matrix to fit Modal T4 budget.",count,300,FIN
