run_id,model,dataset,template,shots,n,coverage,accuracy,f1_macro
finbert__FiQA__seed42,ProsusAI/finbert,FiQA,-,0,1173,1.0,0.4979,0.482
finbert__FPB__seed42,ProsusAI/finbert,FPB,-,0,690,1.0,0.9348,0.9254
finbert_tone__FiQA__seed42,yiyanghkust/finbert-tone,FiQA,-,0,1173,1.0,0.3887,0.3955
finbert_tone__FPB__seed42,yiyanghkust/finbert-tone,FPB,-,0,690,1.0,0.8812,0.8552
mistral7b__FiQA__A__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiQA,A,0,300,1.0,0.62,0.5989
mistral7b__FiQA__A__3shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiQA,A,3,300,1.0,0.5833,0.5755
mistral7b__FiQA__B__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiQA,B,0,300,1.0,0.63,0.5641
mistral7b__FiQA__B__3shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiQA,B,3,300,1.0,0.53,0.4972
mistral7b__FiQA__D__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiQA,D,0,300,1.0,0.6933,0.6476
mistral7b__FiQA__F__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiQA,F,0,300,1.0,0.73,0.6743
mistral7b__FiQA__H__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiQA,H,0,300,1.0,0.6867,0.6206
mistral7b__FPB__A__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPB,A,0,300,1.0,0.8433,0.803
mistral7b__FPB__A__3shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPB,A,3,300,1.0,0.9033,0.8897
mistral7b__FPB__B__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPB,B,0,300,1.0,0.77,0.6889
mistral7b__FPB__B__3shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPB,B,3,300,1.0,0.7633,0.6525
mistral7b__FPB__D__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPB,D,0,300,1.0,0.8,0.8025
mistral7b__FPB__F__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPB,F,0,300,1.0,0.8567,0.8407
mistral7b__FPB__H__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPB,H,0,300,1.0,0.86,0.8403
plutus8b__FiQA__A__0shot__seed42,TheFinAI/plutus-8B-instruct,FiQA,A,0,300,1.0,0.6567,0.5966
plutus8b__FiQA__A__3shot__seed42,TheFinAI/plutus-8B-instruct,FiQA,A,3,300,0.97,0.4777,0.4965
plutus8b__FiQA__B__0shot__seed42,TheFinAI/plutus-8B-instruct,FiQA,B,0,300,1.0,0.4,0.4322
plutus8b__FiQA__B__3shot__seed42,TheFinAI/plutus-8B-instruct,FiQA,B,3,300,1.0,0.4333,0.4256
plutus8b__FiQA__D__0shot__seed42,TheFinAI/plutus-8B-instruct,FiQA,D,0,300,1.0,0.78,0.6708
plutus8b__FiQA__F__0shot__seed42,TheFinAI/plutus-8B-instruct,FiQA,F,0,300,1.0,0.7067,0.6134
plutus8b__FiQA__H__0shot__seed42,TheFinAI/plutus-8B-instruct,FiQA,H,0,300,0.9967,0.7291,0.6497
plutus8b__FPB__A__0shot__seed42,TheFinAI/plutus-8B-instruct,FPB,A,0,300,1.0,0.71,0.6617
plutus8b__FPB__A__3shot__seed42,TheFinAI/plutus-8B-instruct,FPB,A,3,300,0.9833,0.8508,0.8291
plutus8b__FPB__B__0shot__seed42,TheFinAI/plutus-8B-instruct,FPB,B,0,300,1.0,0.76,0.6477
plutus8b__FPB__B__3shot__seed42,TheFinAI/plutus-8B-instruct,FPB,B,3,300,1.0,0.8133,0.7454
plutus8b__FPB__D__0shot__seed42,TheFinAI/plutus-8B-instruct,FPB,D,0,300,1.0,0.5933,0.6135
plutus8b__FPB__F__0shot__seed42,TheFinAI/plutus-8B-instruct,FPB,F,0,300,0.9967,0.6555,0.6349
plutus8b__FPB__H__0shot__seed42,TheFinAI/plutus-8B-instruct,FPB,H,0,300,0.9967,0.7793,0.7527
qwen25_7b__FiQA__A__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FiQA,A,0,300,1.0,0.5733,0.5785
qwen25_7b__FiQA__A__3shot__seed42,Qwen/Qwen2.5-7B-Instruct,FiQA,A,3,300,1.0,0.54,0.5468
qwen25_7b__FiQA__B__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FiQA,B,0,300,1.0,0.7167,0.6727
qwen25_7b__FiQA__B__3shot__seed42,Qwen/Qwen2.5-7B-Instruct,FiQA,B,3,300,1.0,0.5733,0.5221
qwen25_7b__FPB__A__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPB,A,0,300,1.0,0.82,0.7638
qwen25_7b__FPB__A__3shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPB,A,3,300,1.0,0.86,0.8324
qwen25_7b__FPB__B__0shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPB,B,0,300,1.0,0.84,0.8061
qwen25_7b__FPB__B__3shot__seed42,Qwen/Qwen2.5-7B-Instruct,FPB,B,3,300,1.0,0.8367,0.7923
vader__FiQA__seed42,vaderSentiment,FiQA,-,0,1173,1.0,0.4228,0.3863
vader__FPB__seed42,vaderSentiment,FPB,-,0,690,1.0,0.5536,0.4694
