model,model_hf_id,dataset,template,shots,seed,n_samples,accuracy,f1_macro,f1_weighted,coverage,runtime_s
finbert,ProsusAI/finbert,FPB,-,0,42,690,0.9348,0.9254,0.9357,1.0,24.23
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,FPB,A,0,42,300,0.8433,0.803,0.8294,1.0,315.13
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,FPB,A,3,42,300,0.9033,0.8897,0.903,1.0,211.38
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,FPB,B,0,42,300,0.77,0.6889,0.7513,1.0,71.55
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,FPB,B,3,42,300,0.7633,0.6525,0.7338,1.0,86.65
plutus8b,TheFinAI/plutus-8B-instruct,FPB,A,0,42,300,0.71,0.6617,0.7139,1.0,76.93
plutus8b,TheFinAI/plutus-8B-instruct,FPB,A,3,42,300,0.8508,0.8291,0.8479,0.9833,72.73
plutus8b,TheFinAI/plutus-8B-instruct,FPB,B,0,42,300,0.76,0.6477,0.7045,1.0,47.1
plutus8b,TheFinAI/plutus-8B-instruct,FPB,B,3,42,300,0.8133,0.7454,0.7882,1.0,72.56
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,FPB,A,0,42,300,0.82,0.7638,0.7987,1.0,224.66
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,FPB,A,3,42,300,0.86,0.8324,0.8517,1.0,194.82
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,FPB,B,0,42,300,0.84,0.8061,0.8331,1.0,180.98
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,FPB,B,3,42,300,0.8367,0.7923,0.8284,1.0,206.85
vader,vaderSentiment,FPB,-,0,42,690,0.5536,0.4694,0.558,1.0,0.05
finbert,ProsusAI/finbert,FiQA,-,0,42,1173,0.4979,0.482,0.5729,1.0,25.59
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,FiQA,A,0,42,300,0.62,0.5989,0.6718,1.0,172.87
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,FiQA,A,3,42,300,0.5833,0.5755,0.646,1.0,208.28
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,FiQA,B,0,42,300,0.63,0.5641,0.6659,1.0,131.85
mistral7b,mistralai/Mistral-7B-Instruct-v0.3,FiQA,B,3,42,300,0.53,0.4972,0.5853,1.0,93.96
plutus8b,TheFinAI/plutus-8B-instruct,FiQA,A,0,42,300,0.6567,0.5966,0.6784,1.0,34.26
plutus8b,TheFinAI/plutus-8B-instruct,FiQA,A,3,42,300,0.4777,0.4965,0.5279,0.97,96.17
plutus8b,TheFinAI/plutus-8B-instruct,FiQA,B,0,42,300,0.4,0.4322,0.4469,1.0,44.21
plutus8b,TheFinAI/plutus-8B-instruct,FiQA,B,3,42,300,0.4333,0.4256,0.4131,1.0,67.49
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,FiQA,A,0,42,300,0.5733,0.5785,0.6305,1.0,163.34
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,FiQA,A,3,42,300,0.54,0.5468,0.6003,1.0,191.7
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,FiQA,B,0,42,300,0.7167,0.6727,0.7464,1.0,175.94
qwen25_7b,Qwen/Qwen2.5-7B-Instruct,FiQA,B,3,42,300,0.5733,0.5221,0.5797,1.0,204.58
vader,vaderSentiment,FiQA,-,0,42,1173,0.4228,0.3863,0.4874,1.0,0.06
