run_id,model,dataset,template,shots,seed,n_samples_meta,n_predictions_lines,complete,first_pred_id,sha1_of_sorted_id_list,timestamps,notes
finbert__FiQA__seed42,ProsusAI/finbert,FiQA,,,42,1173,1173,True,FiQA_00000,e07153f74c52dc055d23d11294279aa55e8d1940,started=2026-05-03T22:19:24.107898+00:00;completed=2026-05-03T22:19:49.709879+00:00,
finbert__FPB__seed42,ProsusAI/finbert,FPB,,,42,690,690,True,FPB_00031,87767a71104511771fd756f740afc465f8331373,started=2026-05-03T22:18:59.818042+00:00;completed=2026-05-03T22:19:24.058121+00:00,
finbert__FPBall__seed42,ProsusAI/finbert,FPBall,-,0,42,452,452,True,FPB_00001,ac544c21c814dd32bee4872668f5333ae1a43b8c,started=2026-06-25T14:16:37.908614+00:00;completed=2026-06-25T14:16:57.735110+00:00,
finbert_ner__FiQA__seed42,dslim/bert-base-NER,FiQA,,,42,1173,1173,N/A,FiQA_00000,e07153f74c52dc055d23d11294279aa55e8d1940,started=2026-05-11T16:46:21.040284+00:00;completed=2026-05-11T16:46:25.547993+00:00,"exploratory NER track: uses entities.jsonl, no progress.json; task=ner"
finbert_ner__FPB__seed42,dslim/bert-base-NER,FPB,,,42,690,690,N/A,FPB_00031,87767a71104511771fd756f740afc465f8331373,started=2026-05-11T16:45:51.461876+00:00;completed=2026-05-11T16:46:21.031835+00:00,"exploratory NER track: uses entities.jsonl, no progress.json; task=ner"
finbert_tone__FiQA__seed42,yiyanghkust/finbert-tone,FiQA,,,42,1173,1173,True,FiQA_00000,e07153f74c52dc055d23d11294279aa55e8d1940,started=2026-05-11T16:44:52.959906+00:00;completed=2026-05-11T16:44:56.556859+00:00,
finbert_tone__FPB__seed42,yiyanghkust/finbert-tone,FPB,,,42,690,690,True,FPB_00031,87767a71104511771fd756f740afc465f8331373,started=2026-05-11T16:44:32.103742+00:00;completed=2026-05-11T16:44:51.514550+00:00,
gliner-large__FiNER-ORD__seed42,urchade/gliner_large-v2.1,FiNER-ORD,,,42,300,300,True,FiNERORD_00005,6a55c7eecf642089e2ffa45e0c5c4fdafede4dad,started=2026-05-11T13:56:20.028969+00:00;completed=2026-05-11T13:57:58.790507+00:00,backend=local
gliner-small__FiNER-ORD__seed42,urchade/gliner_small-v2.1,FiNER-ORD,,,42,300,300,True,FiNERORD_00005,6a55c7eecf642089e2ffa45e0c5c4fdafede4dad,started=2026-05-11T13:57:58.932840+00:00;completed=2026-05-11T13:58:18.868620+00:00,backend=local
mistral7b__FiNER-ORD__A__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiNER-ORD,A,0,42,300,300,True,FiNERORD_00004,6a55c7eecf642089e2ffa45e0c5c4fdafede4dad,started=2026-05-11T14:25:20.700618+00:00;completed=2026-05-11T14:35:32.583464+00:00,backend=modal
mistral7b__FiQA__A__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiQA,A,0,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-03T23:16:06.397568+00:00;completed=2026-05-03T23:18:59.276051+00:00,
mistral7b__FiQA__A__3shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiQA,A,3,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-03T23:18:59.324046+00:00;completed=2026-05-03T23:22:27.608438+00:00,
mistral7b__FiQA__B__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiQA,B,0,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-03T23:22:27.642019+00:00;completed=2026-05-03T23:24:39.493317+00:00,
mistral7b__FiQA__B__3shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FiQA,B,3,42,300,300,True,FiQA_00228,978644fc9aa22772d1e21e07564f40ca2bea21df,started=2026-05-03T23:24:39.524481+00:00;completed=2026-05-03T23:26:13.495833+00:00,
mistral7b__FPB__A__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPB,A,0,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-03T23:04:41.370219+00:00;completed=2026-05-03T23:09:56.510720+00:00,
mistral7b__FPB__A__3shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPB,A,3,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-03T23:09:56.633982+00:00;completed=2026-05-03T23:13:28.029513+00:00,
mistral7b__FPB__B__0shot__seed42,mistralai/Mistral-7B-Instruct-v0.3,FPB,B,0,42,300,300,True,FPB_00230,e5646bb831f9ab13d230ada6c4c6c6c6ca868239,started=2026-05-03T23:13:28.081378+00:00;completed=2026-05-03T23:14:39.637601+00:00,
